"order_id","item_total","payment_total","discrepancy"
"99e5f0c685ca94e5a1c7134b1898bb1a",36.46,38.94,2.48
"21ca56b276a6b8d082a1261f33786085",64.00,66.46,2.46
"94d1193f2a0ae739f23399b913bd577c",33.27,35.59,2.32
"65320cb291f4cacd8b0114a29eafa4c7",32.62,34.89,2.27
"8b5058499c412c6cf8d013de40e4f9d2",48.77,51.02,2.25
"5ac0d2c1229ba07ea5cd990360b21e34",48.62,50.86,2.24
"aad7d7dacb681055d348e02842f0590b",32.60,34.82,2.22
"12619b9be5cc3665b3f36f1e4b4d0ffa",37.77,39.95,2.18
"fdb034f444a32838124d8907e443d249",31.38,33.56,2.18
"b153668d9576aeae5c424bf7b125eea2",46.26,48.40,2.14
"164a6c920f4a6f51223792333af13e24",61.01,63.12,2.11
"3f319eb09e31aa1ea2a4079bdd655c62",43.69,45.71,2.02
"01e51b7c3025655646143d09b911e1d7",33.10,35.02,1.92
"91fbb4bf79cbb5c19eb018248c0fe683",109.29,111.19,1.90
"c14323552816050d396da49c9f23ae1e",31.90,33.75,1.85
"f1c86b9191896bcf9077ec22b6248153",55.80,57.60,1.80
"d9257c8e34393415a403600f6289fbc4",37.78,39.52,1.74
"6aaedd714ad6929fc4df8d51bd4cfe9a",61.32,62.99,1.67
"c235e3fbe42d171c9177e6664107170d",20.28,21.94,1.66
"6fa0c125ee7d870f6602c97e33d87bc5",47.31,45.71,-1.60
"ec3921c711c656d036c7316503867f69",34.51,36.10,1.59
"66b04218fe3a0af6ca54d243ecfb3737",44.69,46.24,1.55
"8ccbe46ffeae4720eba99d2d2de07542",28.75,30.30,1.55
"596b168ac4fd56e69b35087afaa8ae59",29.83,31.21,1.38
"5af817dcc7682f13101dbdef134be4e0",44.09,45.42,1.33
"57a82955454fb2a9a18633d841ac480d",22.33,23.62,1.29
"c253cb678b5c3b8e8c9a13fc97d8e7f5",35.70,36.94,1.24
"aa962f90c14940f2df3c6184f35a2184",35.59,36.82,1.23
"bcb9cb204fb7137dcb5dc3fdb94f11e5",29.28,30.29,1.01
